C44F33640B49
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
  2022/3/2,  12:30:45,    100.00,    -,              -,              -,        51,        14,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.820000,43.375000,1002.294434,    -
  2022/3/2,  12:30:51,    100.00,    -,              -,              -,        69,        20,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.850000,43.166992,1002.276306,    -
  2022/3/2,  12:30:56,    100.00,    -,              -,              -,        36,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.889999,43.370117,1002.275085,    -
  2022/3/2,   12:31:1,    100.00,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.910000,43.250000,1002.271179,    -
  2022/3/2,   12:31:9,    100.00,    -,              -,              -,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.959999,43.076172,1002.257996,    -
  2022/3/2,  12:31:14,    100.00,    -,              -,              -,        39,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.990000,43.088867,1002.262939,    -
  2022/3/2,  12:31:19,    100.00,    -,              -,              -,        48,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.020000,43.449219,1002.273193,    -
  2022/3/2,  12:31:24,    100.00,    -,              -,              -,        30,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.040001,43.597656,1002.283386,    -
  2022/3/2,  12:31:29,    100.00,    -,              -,              -,        27,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.070000,43.076172,1002.299988,    -
  2022/3/2,  12:31:34,    100.00,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.100000,42.744141,1002.296082,    -
  2022/3/2,  12:31:43,    100.00,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.139999,42.659180,1002.305786,    -
  2022/3/2,  12:31:48,    100.00,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.170000,42.359375,1002.309204,    -
  2022/3/2,  12:31:53,    100.00,    -,              -,              -,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.200001,42.195312,1002.310791,    -
  2022/3/2,  12:31:58,    100.00,    -,              -,              -,        96,        32,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.230000,42.165039,1002.310608,    -
